Item_Identifier,Item_Weight,Item_MRP,Item_Outlet_Sales
FDZ52,19.2,112.4886,1223.0746
FDE17,20.1,152.1366,755.683
FDG34,11.5,109.5254,1953.4572
FDE26,9.3,143.0786,288.9572
FDD56,15.2,176.5054,2976.7918
FDR52,12.65,191.3846,2675.1844
FDQ13,11.1,84.1908,755.0172
NCJ42,,102.7332,410.1328
FDH10,,192.6478,387.4956
NCG42,19.2,131.231,3635.268
FDT31,19.75,187.5872,1323.6104
DRD25,6.135,112.686,2942.836
FDR35,12.5,199.1742,4379.6324
FDL33,7.235,193.9452,2936.178
FDT45,15.85,53.3956,600.5516
FDT16,9.895,260.5278,8851.1452
DRE49,20.75,153.0024,2428.8384
DRF60,10.8,239.9564,3813.7024
NCB54,8.76,128.3336,2556.672
FDH20,16.1,97.341,1255.033
FDA31,7.1,172.908,2769.728
FDE33,19.35,76.8644,1571.288
FDM12,16.7,189.2214,188.4214
FDW44,9.5,168.6448,1022.6688
DRE48,8.43,197.8768,3744.4592
NCX18,14.15,196.511,2749.754
FDA38,5.44,239.1538,480.7076
FDQ19,7.35,242.6512,969.4048
FDY47,,129.131,4933.578
FDE17,20.1,151.3366,2720.4588
FDY25,12,181.8976,4527.44
FDT03,21.25,185.5608,3123.9336
FDB49,8.3,98.0384,2857.6136
FDL43,10.1,76.067,1454.773
FDE47,14.15,123.5046,1992.0736
FDS49,9,78.3644,1728.4168
FDU23,12.15,163.6184,2311.6576
FDU38,,192.9504,7478.2656
FDV09,,148.0734,593.8936
FDR20,20,45.5744,452.744
FDY11,6.71,65.8142,856.8846
FDG40,,31.9558,984.7182
FDX20,7.365,228.372,2037.348
FDZ27,7.935,50.035,149.805
FDH09,12.6,51.3982,473.3838
FDG29,17.6,42.7454,293.6178
NCA30,19,190.1872,5105.3544
NCL53,7.5,175.3028,3010.7476
DRE15,13.35,77.6012,986.7156
NCS38,8.6,112.9176,458.0704
FDY21,,196.011,589.233
FDB58,10.5,140.6154,283.6308
FDH41,9,213.3534,1935.4806
DRF23,4.61,172.4396,1569.9564
FDE05,10.895,146.2102,437.4306
FDY10,17.6,112.7176,1717.764
FDS43,11.65,188.224,1304.968
NCM30,19.1,41.9796,784.3124
FDY49,17.2,165.7184,1816.3024
FDN02,16.5,206.8638,2070.638
FDP37,15.6,128.0994,2184.4898
NCF07,9,99.6016,1922.8304
FDJ09,15,44.0744,633.8416
FDO23,,94.3436,2269.0464
FDH09,,52.4982,1209.7586
FDX34,6.195,119.3098,1205.098
FDV60,20.2,197.311,3338.987
FDE32,20.7,38.7506,227.7036
NCI30,20.25,245.046,4680.574
FDS37,7.655,117.7492,695.0952
FDC57,,193.982,579.246
DRC01,5.92,49.0692,1478.076
DRD27,18.75,99.0042,694.4294
FDI12,9.395,88.3856,703.0848
FDQ33,13.35,149.3708,4514.124
FDQ27,,101.399,206.398
NCB07,19.2,196.211,589.233
FDC08,19,226.172,3169.208
FDD20,14.15,124.2046,2490.092
FDS24,20.85,88.1514,1151.1682
FDH34,8.63,186.0582,3900.9222
NCX30,16.7,248.4776,6439.6176
FDM01,7.895,104.5332,1845.5976
FDB20,7.72,77.9986,934.7832
NCK29,5.615,121.573,3202.498
FDS11,7.05,224.9088,2684.5056
NCV41,14.35,109.2228,221.0456
DRL60,8.52,151.7682,2439.4912
FDV10,7.645,44.0112,596.5568
FDV09,12.1,149.5734,2227.101
FDQ39,14.8,192.4846,5159.2842
DRE49,20.75,153.6024,1366.2216
FDR45,10.8,238.6222,8604.7992
DRJ23,18.35,190.2872,378.1744
FDQ26,13.5,58.6562,711.0744
NCA06,20.5,34.819,1061.951
FDT24,12.35,78.6328,1004.0264
DRG27,8.895,39.1138,609.207
FDR02,16.7,110.8886,3558.0352
DRG37,16.2,155.8972,2025.3636
FDJ07,7.26,118.115,1864.24
FDP32,6.65,126.7678,1907.517
FDV59,13.35,218.9166,5660.6316
FDP60,17.35,99.8016,607.2096
FDE32,,39.6506,1024.6662
FDK26,5.46,187.424,3169.208
FDW28,18.25,197.3452,2740.4328
FDP56,8.185,47.7692,640.4996
FDT25,7.5,122.2072,1960.1152
FDQ12,12.65,230.601,2067.309
FDR60,14.3,77.2328,231.6984
FDZ10,17.85,128.002,253.004
FDM13,6.425,130.5626,131.1626
FDF26,6.825,153.4998,2153.1972
FDN02,,205.3638,5383.6588
NCI30,20.25,245.546,1724.422
NCJ31,19.2,243.0196,3615.294
NCQ54,17.7,166.8474,168.4474
FDB02,9.695,175.437,2999.429
FDC02,,259.3278,4165.2448
FDA11,7.75,95.6436,1134.5232
DRI23,,159.6578,2888.2404
FDE04,19.75,179.866,2696.49
FDW38,5.325,55.5298,53.9298
FDG46,,115.4518,113.8518
NCJ05,,152.3682,2287.023
FDU01,,185.1924,555.2772
FDY11,6.71,66.6142,1120.5414
FDX60,14.35,79.296,719.064
NCN29,15.2,47.8034,437.4306
FDT07,5.82,256.633,2050.664
FDI21,5.59,61.9168,1214.4192
FDI41,18.5,148.0418,2059.9852
FDE10,,133.1626,3672.5528
FDQ28,14,153.5656,3089.312
FDY32,7.605,165.021,815.605
NCK05,,61.1536,61.2536
FDH12,9.6,107.128,1278.336
FDJ27,17.7,103.8674,1528.011
DRL35,15.7,43.377,129.831
NCY29,13.65,55.093,1301.639
FDC21,14.6,110.1254,1844.9318
FDM33,15.6,220.1798,5068.7354
DRJ39,20.25,217.5482,1095.241
FDB22,8.02,151.9998,307.5996
FDC32,18.35,93.8462,1295.6468
FDD02,16.6,118.8124,2607.2728
FDL28,10,228.6668,3455.502
FDL39,16.1,179.4318,2345.6134
FDV37,13,196.2426,197.7426
FDA28,16.1,126.5362,1761.7068
FDL04,19,105.5622,1905.5196
FDR10,17.6,163.5552,3086.6488
FDA39,6.32,39.1822,1060.6194
FDR15,9.3,153.1314,4653.942
FDQ40,11.1,175.0712,3339.6528
DRG23,,151.2682,2439.4912
FDU36,6.15,99.4384,1379.5376
FDF47,20.85,223.9746,897.4984
FDH14,17.1,141.4838,1404.838
FDO45,13.15,86.3856,615.1992
FDK60,16.5,95.7068,1069.2748
FDS43,11.65,185.924,4101.328
FDN44,13.15,160.292,4793.76
FDS34,19.35,113.9518,1138.518
FDU20,19.35,122.2098,2771.7254
FDP44,16.5,101.4332,1948.1308
FDC02,21.35,258.5278,5206.556
FDT56,16,57.5246,173.7738
NCA06,20.5,34.919,73.238
FDE04,19.75,180.466,3415.554
NCX06,17.6,179.1976,3803.0496
FDX49,4.615,234.33,3961.51
DRM59,5.88,154.1998,1384.1982
FDJ34,11.8,126.0704,1251.704
FDP60,17.35,101.9016,1821.6288
FDI07,12.35,196.9426,5141.3076
FDV07,,111.0228,3205.1612
FDH41,9,214.1534,1720.4272
NCB31,6.235,263.291,3418.883
FDW34,9.6,244.817,4374.306
FDX45,16.75,156.163,782.315
FDH14,17.1,141.3838,1685.8056
FDF26,6.825,154.5998,153.7998
FDU24,6.78,92.212,4101.328
FDX11,16,181.9634,3453.5046
FDF35,15,105.9938,1179.1318
NCC43,7.39,251.3066,1004.0264
FDG29,17.6,42.5454,419.454
FDS44,12.65,239.6538,3845.6608
FDZ10,17.85,127.102,2024.032
FDC52,11.15,150.4708,1956.1204
DRL35,15.7,42.877,1168.479
NCP55,14.65,56.4614,55.2614
FDV38,,55.0956,2020.0372
FDL44,18.25,160.4894,3073.9986
FDZ47,20.7,98.7042,1884.8798
FDT45,15.85,53.3956,1364.89
FDN23,6.575,145.7444,3193.1768
NCP43,17.75,177.866,2336.958
DRJ24,,185.2924,370.1848
FDA02,,143.5786,3756.4436
FDH33,,44.9428,175.7712
FDF56,16.7,181.2976,3078.6592
NCN26,10.85,115.1808,2109.2544
FDD22,10,113.7544,3243.7776
FDU15,13.65,37.9532,71.9064
FDB41,19,46.8718,189.0872
FDZ35,9.6,102.499,2579.975
FDT60,12,124.1388,1486.0656
FDE51,5.925,43.8086,312.2602
NCQ06,13,254.5014,4845.0266
FDS28,8.18,58.5588,171.7764
FDH32,12.8,96.541,1834.279
FDW37,19.2,89.7488,2082.6224
FDY33,14.5,159.4262,2705.1454
FDF17,5.19,196.811,3731.809
FDG56,13.3,61.0536,1592.5936
NCB18,19.6,88.8514,2125.2336
FDU14,17.75,248.275,998.7
FDU22,12.35,119.1124,3673.8844
NCV41,14.35,109.8228,2099.9332
FDY52,6.365,63.2536,1225.072
DRG48,,143.9102,3062.0142
FDU01,,184.7924,4442.2176
NCP53,14.75,238.6906,4278.4308
FDC17,12.15,211.9928,631.1784
NCZ30,6.59,121.5098,602.549
FDK03,12.6,255.6356,2797.6916
FDE08,,149.8734,445.4202
NCM07,,83.9908,2348.9424
FDY35,,47.7402,1975.4286
FDS28,,59.2588,1374.2112
FDI56,7.325,92.7146,2006.7212
FDR23,,175.837,352.874
FDF29,15.1,130.531,908.817
FDA47,,164.121,6035.477
FDI10,8.51,172.9422,1379.5376
FDC45,,170.2106,171.1106
FDA27,20.35,257.2672,2045.3376
NCR41,17.85,96.9094,1332.9316
FDR09,18.25,258.4962,2848.9582
NCB06,17.6,160.492,1278.336
FDE53,10.895,106.428,1491.392
DRE27,11.85,99.6726,195.7452
NCA06,,35.919,585.904
FDL56,14.1,88.6198,1133.8574
FDT09,15.15,131.7284,1186.4556
DRH03,17.25,91.612,93.212
NCQ53,17.6,237.059,2836.308
NCT18,14.6,179.6976,3621.952
FDL43,10.1,76.467,1761.041
FDJ53,10.5,119.2098,1325.6078
NCQ02,12.6,186.9556,3942.8676
NCJ05,18.7,153.6682,3506.7686
FDT40,5.985,127.1678,3560.6984
FDA48,12.1,221.4114,5099.3622
FDV37,13,196.0426,2570.6538
FDX07,19.2,181.695,2563.33
DRG48,5.78,146.3102,2187.153
FDF44,7.17,130.9968,2348.9424
FDS24,20.85,88.1514,1682.4766
NCQ50,18.75,215.7218,4274.436
FDT25,7.5,123.4072,3185.1872
FDO03,10.395,230.5352,4580.704
FDJ55,12.8,223.5404,1800.3232
FDM36,11.65,170.4422,517.3266
FDM21,20.2,258.0646,5668.6212
FDK58,11.35,103.0016,2125.2336
FDD26,8.71,186.5924,555.2772
FDW57,8.31,177.3028,1948.1308
FDT32,19,188.8214,188.4214
FDT25,7.5,121.7072,367.5216
NCB19,6.525,84.6882,601.2174
FDD05,,122.0098,361.5294
NCE54,,77.0354,2332.2974
FDO39,6.985,182.8608,4042.7376
NCV06,11.3,192.2478,1356.2346
DRB13,6.115,189.053,948.765
FDX51,9.5,194.2452,782.9808
FDC38,15.7,134.2942,1192.4478
FDD04,16,143.2154,1701.7848
FDC05,13.1,198.7768,3153.2288
DRJ59,,39.0164,1042.6428
FDL22,16.85,90.6488,633.8416
DRH13,,107.628,213.056
FDV22,14.85,157.563,312.926
FDP07,18.2,197.211,3142.576
FDK27,11,119.1756,1696.4584
FDP31,21.1,64.9168,639.168
NCI54,15.2,110.7912,109.1912
DRK35,,37.7506,796.9626
NCO07,9.06,213.256,4687.232
FDN31,11.5,191.253,3036.048
NCO02,11.15,66.8142,2372.9112
FDQ26,13.5,57.2562,770.3306
FDQ07,15.1,221.8456,663.1368
FDB49,8.3,98.2384,2167.8448
FDY44,14.15,196.411,2749.754
NCI54,,107.3912,3057.3536
FDV44,8.365,190.1188,1904.188
FDI48,11.85,53.0666,512.666
NCL05,19.6,42.277,605.878
FDT32,19,189.6214,2826.321
FDM10,18.25,212.9218,3846.9924
FDS21,19.85,63.5194,557.2746
FDD11,12.85,251.704,3542.056
FDL04,,106.7622,2964.1416
FDO58,19.6,163.7526,2960.1468
FDQ08,15.7,60.5536,490.0288
FDT28,13.3,151.3708,3611.2992
FDT22,10.395,59.022,1378.206
FDB58,10.5,143.7154,3119.9388
FDN45,19.35,224.8088,2013.3792
FDZ45,14.1,198.9084,4761.8016
FDJ38,8.6,188.753,7590.12
NCT06,17.1,166.4842,1326.2736
FDU21,,32.8558,713.0718
NCP30,20.5,38.9822,982.055
FDR27,15.1,134.4942,2119.9072
FDW39,6.69,176.937,4234.488
DRZ24,,121.044,2396.88
FDK21,7.905,250.7408,5757.8384
FDJ04,18,118.5124,1303.6364
FDZ13,7.84,50.835,599.22
FDS16,15.15,144.676,3954.852
FDD56,15.2,175.8054,1050.6324
FDI57,19.85,197.2768,6503.5344
FDQ12,,231.601,5972.226
FDI56,7.325,91.3146,1641.8628
NCT42,5.88,148.4392,2087.9488
FDM25,10.695,174.7712,3339.6528
DRB25,,106.0938,2787.0388
NCY30,20.25,179.5976,2535.3664
FDD44,8.05,257.0646,8760.5964
FDK45,11.65,112.186,1018.674
FDN45,19.35,222.6088,1789.6704
FDQ09,7.235,115.8834,1382.2008
FDC17,12.15,209.9928,5259.82
FDD45,8.615,94.1436,1512.6976
FDD41,6.765,105.0306,2090.612
FDU46,10.3,87.254,1211.756
FDO45,13.15,89.4856,1230.3984
FDG41,8.84,109.5228,1657.842
DRC13,8.26,122.573,739.038
FDX50,20.1,108.9228,1105.228
FDK56,9.695,185.1898,2619.2572
NCL18,18.85,194.6136,2721.7904
FDN57,18.25,140.9154,6381.693
FDX03,,44.4744,769.6648
NCU17,5.32,101.7674,1120.5414
FDL14,8.115,157.3972,1869.5664
NCU18,15.1,139.8496,1411.496
NCH43,8.42,215.9192,1941.4728
FDH41,9,216.2534,4301.068
FDS28,8.18,57.3588,343.5528
FDG02,,191.4188,3998.7948
FDS40,15.35,36.719,585.904
FDD10,20.6,177.0344,535.3032
DRQ35,9.3,124.4388,1609.9044
NCL05,19.6,42.877,649.155
FDJ48,11.3,247.8118,2223.1062
FDV21,,124.8704,2127.8968
FDJ26,15.3,215.5218,4060.7142
NCN05,8.235,184.495,3844.995
FDK09,15.2,228.5352,1832.2816
FDM56,,110.9912,1310.2944
DRF25,9,37.019,659.142
FDG14,9,150.9024,4402.2696
FDZ31,15.35,190.8504,3643.2576
FDU21,,35.0558,33.9558
FDC57,20.1,193.382,4247.804
FDU46,10.3,87.854,259.662
FDU22,12.35,118.7124,2607.2728
DRG23,8.88,152.5682,1372.2138
FDR23,15.85,176.437,529.311
FDI14,14.1,140.1496,846.8976
NCN42,20.25,148.6418,2648.5524
NCM41,16.5,93.612,1584.604
FDT55,13.6,156.7946,3629.2758
DRY23,,42.9112,809.6128
FDL46,20.35,119.5466,117.8466
FDQ57,7.275,145.076,1611.236
FDQ16,19.7,109.2912,2402.2064
FDZ52,,109.1886,4225.1668
FDL16,,47.106,139.818
NCX18,14.15,196.811,4517.453
FDM34,19,130.8626,1573.9512
FDG60,,234.5616,6796.4864
NCA06,20.5,37.119,842.237
DRD12,6.96,89.9146,1277.0044
FDP04,15.35,62.5168,447.4176
NCH30,17.1,114.586,1584.604
FDS04,10.195,142.2838,1685.8056
FDQ13,,82.9908,503.3448
FDU59,5.78,162.8552,3574.0144
DRG11,6.385,108.2596,1186.4556
FDA36,,184.9924,3146.5708
FDA15,9.3,248.5092,6474.2392
FDZ03,13.65,188.024,745.696
FDJ16,9.195,59.0246,1853.5872
FDZ12,9.17,141.747,3006.087
FDH09,12.6,53.2982,736.3748
FDT13,14.85,188.7214,3956.8494
FDU20,19.35,120.5098,1807.647
DRH25,18.7,52.2324,467.3916
FDK26,5.46,187.624,3542.056
FDU32,8.785,120.9414,1949.4624
FDI22,12.6,210.8612,3344.9792
NCB54,8.76,127.3336,2684.5056
FDX46,12.3,58.7562,592.562
NCC07,19.6,103.1964,736.3748
FDQ34,,105.5622,211.7244
FDM16,8.155,76.2354,1279.0018
FDJ55,,223.8404,7201.2928
DRI01,7.97,171.2422,3103.9596
FDD50,18.85,167.6132,1522.0188
FDJ08,11.1,191.5846,2101.9306
NCK18,9.6,164.6184,2972.1312
FDQ14,9.27,148.105,149.805
FDS51,13.35,61.2194,433.4358
FDA04,11.3,260.8962,4920.9278
FDP10,19,107.6622,1164.4842
FDT36,12.3,35.6874,846.8976
FDH38,6.425,118.3808,2812.3392
FDC16,11.5,84.954,865.54
FDF17,5.19,195.911,2946.165
FDU23,12.15,163.5184,3137.2496
FDB34,15.25,86.6198,1657.1762
FDW26,11.8,221.6772,3113.2808
FDP45,15.7,253.4724,1510.0344
FDD38,16.75,103.5674,1629.8784
FDM60,10.8,42.2138,690.4346
FDW26,11.8,220.3772,4447.544
FDV51,,166.1842,5470.8786
FDT33,7.81,168.7158,2673.8528
FDQ40,11.1,177.2712,3339.6528
FDX40,12.85,38.3164,502.0132
FDU31,10.5,216.7508,3038.7112
DRJ01,6.135,161.0236,1288.9888
FDP11,,216.9166,4354.332
NCN43,,125.173,3202.498
FDA15,9.3,249.6092,5976.2208
FDO04,16.6,54.6614,884.1824
NCF43,8.51,142.947,3006.087
NCI17,8.645,95.441,3282.394
FDY47,8.6,128.831,1038.648
FDF20,,196.4768,6306.4576
NCS53,14.5,158.4604,2693.8268
FDK38,6.65,149.5734,2524.0478
FDW43,20.1,225.9036,3643.2576
FDV57,15.25,179.266,1438.128
FDX26,17.7,182.3292,4195.8716
FDR04,7.075,97.3068,1263.6884
FDP19,11.5,129.3652,2066.6432
FDT07,5.82,254.533,1281.665
DRB24,8.785,155.1656,4016.1056
FDB36,5.465,129.1626,3672.5528
NCE07,,140.9154,2127.231
FDI16,,52.564,2290.352
FDP45,15.7,252.2724,1258.362
NCC43,7.39,251.9066,4267.1122
FDQ23,,102.9332,102.5332
FDW24,6.8,48.6034,291.6204
FDW09,,80.2302,2139.2154
FDN10,11.5,120.2124,1540.6612
FDE23,17.6,45.606,1724.422
FDV16,7.75,34.9558,645.1602
FDF12,,148.6076,3990.8052
FDN21,18.6,161.8236,1611.236
DRC25,5.73,86.0882,1116.5466
NCP18,12.15,149.0708,1203.7664
FDW60,5.44,174.637,2999.429
FDY04,17.7,165.021,3425.541
NCJ31,,240.6196,4579.3724
DRN47,12.1,180.666,4134.618
FDU13,8.355,145.6418,3384.2614
FDT39,6.26,151.1366,453.4098
NCQ18,15.75,101.37,2097.27
FDV25,5.905,221.5456,6852.4136
NCE30,16,210.3902,1486.7314
NCN42,20.25,148.9418,3531.4032
FDW25,5.175,83.4224,1448.7808
FDS49,9,77.2644,1335.5948
FDN34,15.6,168.2132,2367.5848
FDS45,5.175,107.7622,2011.3818
NCL53,,175.4028,6729.9064
FDT38,18.7,83.3566,1860.2452
NCX06,17.6,182.6976,3440.8544
NCY17,18.2,43.5086,1070.6064
NCO18,13.15,179.5686,1422.1488
FDY47,8.6,130.231,129.831
FDF57,,168.6448,3408.896
FDS26,20.35,262.1594,3139.9128
NCL17,7.39,140.6812,3704.5112
NCB18,19.6,88.7514,2656.542
FDA50,16.25,95.441,193.082
DRE13,6.28,86.5198,1395.5168
DRE60,9.395,226.072,3621.952
FDB20,7.72,79.1986,778.986
NCS18,12.65,106.4938,2465.4574
FDH19,,175.1738,347.5476
FDS47,16.75,88.7856,966.7416
FDC09,15.5,102.3332,922.7988
DRG23,8.88,153.3682,1219.7456
FDU34,18.25,126.3046,747.0276
FDZ40,8.935,52.9298,539.298
NCE30,16,210.7902,4460.1942
FDA44,19.7,55.093,1018.674
FDB32,20.6,93.9778,2816.334
NCO06,19.25,32.4558,101.8674
FDY44,14.15,198.311,2553.343
FDG10,6.63,58.2588,343.5528
FDF38,11.8,39.6138,365.5242
FDW59,,85.9566,169.1132
FDP34,12.85,155.563,4224.501
FDZ26,11.6,239.8222,4063.3774
FDH17,,97.0726,293.6178
FDU44,12.15,161.0552,3411.5592
FDS23,4.635,128.2994,2698.4874
DRE03,19.6,48.5718,425.4462
FDY57,20.2,95.0752,2588.6304
FDH50,,185.2266,5901.6512
DRY23,9.395,44.6112,511.3344
FDT27,11.395,232.8616,2812.3392
FDB38,19.5,158.792,2556.672
FDY16,18.35,184.4266,3504.1054
FDG33,5.365,173.4764,171.7764
FDN04,11.8,180.4344,535.3032
FDJ48,11.3,247.5118,2470.118
NCC07,19.6,104.0964,525.982
FDI35,14,182.0634,4544.085
DRH49,19.7,84.3592,743.0328
FDY51,12.5,220.0798,4848.3556
NCG07,12.3,191.253,2656.542
FDA22,7.435,165.2158,2840.9686
FDA33,6.48,146.9076,2956.152
FDV03,17.6,154.6314,1861.5768
FDP27,8.155,188.453,4364.319
FDZ20,16.1,253.4356,2797.6916
FDR56,15.5,199.0768,2759.0752
NCV41,,109.3228,2431.5016
FDU11,4.785,121.0098,2530.7058
NCB30,14.6,197.1084,4761.8016
FDX23,6.445,95.4436,1229.0668
FDY24,4.88,55.0298,647.1576
FDZ37,8.1,88.5198,261.6594
FDL10,8.395,97.9042,1686.4714
NCE18,10,250.175,2996.1
FDY60,,143.8128,4458.1968
FDT24,12.35,77.1328,2239.7512
NCV06,11.3,192.4478,2712.4692
FDP51,,119.6124,592.562
FDU49,19.5,85.754,2163.85
FDQ16,19.7,110.3912,3275.736
FDV16,7.75,32.6558,679.116
FDL36,15.1,88.483,988.713
FDE09,,111.5228,1768.3648
NCV54,11.1,116.6124,1540.6612
FDH27,7.075,142.0128,2588.6304
FDF33,7.97,108.4596,3020.0688
NCP18,12.15,151.0708,2858.9452
FDZ45,14.1,200.4084,3968.168
FDU25,,56.2246,1737.738
FDQ40,11.1,175.8712,175.7712
DRD25,,111.686,452.744
FDJ57,7.42,186.5582,185.7582
FDT43,16.35,52.1324,934.7832
FDH44,19.1,146.8418,1765.7016
FDR31,,143.8102,291.6204
FDQ27,5.19,102.899,1651.184
DRK13,11.8,200.2084,4563.3932
FDB04,11.35,87.9856,1494.0552
NCI54,15.2,109.6912,1419.4856
FDP19,11.5,128.8652,1291.652
FDB37,20.25,240.8538,7931.6754
NCR05,10.1,196.5084,595.2252
FDZ15,13.1,120.1782,2026.0294
NCQ29,12,259.5278,2603.278
FDL04,19,106.5622,2117.244
DRH49,19.7,83.8592,247.6776
FDT07,,256.133,256.333
NCI55,18.6,120.9414,2680.5108
FDP19,11.5,129.0652,3487.4604
FDV45,16.75,187.9556,2816.334
FDG26,18.85,254.433,2050.664
DRJ01,6.135,161.5236,1288.9888
FDD14,20.7,184.4266,3688.532
DRH37,17.6,165.4526,1644.526
NCD18,16,228.3668,5298.4364
NCE55,8.92,176.837,2117.244
NCQ43,17.75,108.8912,327.5736
FDC41,15.6,78.167,1837.608
DRL01,,232.9958,934.7832
FDX48,17.75,154.6656,308.9312
DRC25,5.73,85.5882,171.7764
DRF48,5.73,188.1898,1496.7184
FDT34,9.3,106.7964,525.982
NCB43,20.2,187.6898,3928.8858
FDG44,,55.7298,161.7894
FDD35,12.15,119.244,2636.568
FDC02,21.35,260.4278,3644.5892
FDU51,20.2,175.5028,6729.9064
NCC19,6.57,193.982,2316.984
FDJ60,19.35,166.9184,3302.368
NCI29,8.6,143.2154,2127.231
NCF43,8.51,142.247,2862.94
FDY08,,141.5838,3231.1274
FDD17,7.5,237.1906,237.6906
FDK41,14.3,86.0224,1022.6688
DRN59,15,45.506,466.06
FDR60,14.3,75.7328,617.8624
DRO47,10.195,112.486,113.186
FDF26,6.825,154.9998,3075.996
FDQ12,12.65,231.401,2067.309
NCO29,11.15,164.0526,4769.1254
DRF03,19.1,42.4138,243.6828
FDU48,18.85,131.4284,263.6568
DRE03,19.6,45.5718,945.436
FDX55,15.1,217.3166,1306.2996
FDP38,,51.6008,1821.6288
FDZ19,6.425,175.5712,1230.3984
NCU54,8.88,209.627,1887.543
FDY36,12.3,73.738,1318.284
FDL16,12.85,46.406,186.424
FDW31,11.35,197.9742,995.371
DRK49,,40.9138,1380.8692
FDC08,19,228.372,905.488
FDO56,10.195,115.5808,1874.8928
NCV53,8.27,238.088,6231.888
FDA35,14.85,124.1072,1837.608
FDL40,,98.241,289.623
FDJ04,18,117.2124,2133.2232
FDA31,7.1,172.108,2250.404
FDX24,8.355,94.0462,1480.7392
FDQ59,9.8,84.6908,503.3448
FDF45,18.2,60.0904,1113.2176
FDH05,,229.7984,6024.1584
NCZ54,14.65,161.9552,4711.2008
FDW01,,154.4682,152.4682
FDX36,9.695,224.0404,5851.0504
NCO55,,106.6938,2251.0698
FDL13,13.85,233.83,2796.36
FDV16,7.75,35.7558,611.2044
FDN04,11.8,178.5344,3390.2536
NCH06,12.3,247.146,492.692
FDA40,16,88.9856,1669.8264
NCS05,11.5,131.3942,927.4594
FDM15,,151.8366,6196.6006
FDK04,7.36,56.3588,744.3644
FDI58,7.64,91.212,466.06
FDB33,17.75,158.1262,4137.2812
FDJ45,17.75,34.8216,207.7296
NCO05,7.27,100.5384,2463.46
NCE31,7.67,33.2216,138.4864
FDQ49,20.2,157.663,1095.241
FDL34,16,143.1496,2258.3936
FDV07,9.5,111.1228,663.1368
FDX19,19.1,233.8958,2103.2622
FDO48,15,219.8456,4863.0032
FDK40,7.035,262.691,6048.793
FDY19,19.75,117.2466,2239.0854
FDS16,,145.276,5273.136
FDS02,,196.4794,5852.382
FDM51,11.8,102.5674,1629.8784
FDW02,,126.2704,250.3408
FDS31,,178.5318,180.4318
DRF03,19.1,40.3138,527.9794
FDT55,13.6,156.7946,2840.3028
FDW21,5.34,99.5358,1407.5012
FDP07,18.2,197.111,589.233
NCZ17,12.15,38.6506,796.9626
NCV41,14.35,109.8228,1657.842
FDP60,17.35,99.2016,1518.024
FDG58,10.695,156.8972,467.3916
FDI60,7.22,62.351,885.514
FDI20,19.1,209.2586,3165.879
DRC13,8.26,124.673,1847.595
DRA24,,163.2868,491.3604
FDW52,14,164.2526,1808.9786
FDN38,6.615,251.8408,4506.1344
DRI49,14.15,82.9276,1705.7796
FDW26,11.8,221.1772,3113.2808
FDA28,,125.7362,3020.0688
FDZ52,19.2,112.6886,1779.0176
FDU39,18.85,58.1562,1185.124
FDR25,17,265.1884,6359.7216
FDM44,12.5,102.899,2167.179
FDA50,,98.141,1737.738
FDJ38,8.6,189.753,2846.295
DRM47,9.3,192.9846,6114.7072
NCO05,7.27,98.4384,1576.6144
FDU21,11.8,34.9558,373.5138
FDF32,16.35,198.5426,1384.1982
FDM27,,156.3946,473.3838
FDL33,,194.4452,4697.8848
FDO60,20,43.7086,892.172
NCJ30,5.82,169.379,2376.906
NCI42,18.75,208.3954,2709.1402
FDU37,9.5,77.896,1997.4
FDV08,,43.5454,755.0172
NCA29,10.5,171.6106,2566.659
FDD16,20.5,72.9696,596.5568
FDB35,12.3,92.5804,2297.01
FDS31,13.1,180.3318,2886.9088
NCA53,11.395,47.2034,340.2238
NCD19,8.93,56.4614,828.921
FDP07,18.2,195.111,3731.809
FDA44,19.7,55.993,905.488
FDI14,14.1,140.0496,1411.496
NCE31,7.67,35.4216,173.108
FDJ14,,78.896,399.48
FDY44,14.15,195.111,982.055
FDZ26,11.6,239.6222,2390.222
FDG26,18.85,257.633,5382.993
FDN34,15.6,169.2132,2536.698
DRG11,6.385,109.0596,1941.4728
FDH20,16.1,97.141,1448.115
FDX09,9,178.137,1058.622
FDS09,,51.3008,759.012
NCJ43,6.635,174.0396,2093.2752
NCR05,,199.6084,7142.7024
DRE49,20.75,151.1024,2428.8384
FDZ59,6.63,166.15,3828.35
NCH43,8.42,217.4192,431.4384
FDP03,5.15,125.6388,1733.7432
DRC01,,48.4692,1034.6532
FDX28,,100.7042,3174.5344
FDI19,15.1,243.1512,4604.6728
FDW15,15.35,149.7734,2820.9946
NCX18,,194.911,196.411
FDF20,12.85,196.5768,5715.2272
FDN57,,141.2154,3119.9388
NCM06,7.475,156.4656,2471.4496
NCV53,8.27,238.188,3835.008
FDO20,12.85,254.0382,1261.691
FDV44,8.365,191.3188,2285.0256
FDJ56,8.985,101.77,798.96
NCB18,19.6,87.0514,2125.2336
FDZ20,16.1,253.7356,508.6712
NCR50,20.2,151.634,1990.742
FDL24,10.3,170.9422,3103.9596
FDU38,10.8,191.4504,575.2512
DRB48,16.75,40.9822,157.1288
FDS27,,194.711,196.411
FDR43,18.2,38.419,805.618
FDI12,9.395,86.8856,2548.6824
